image,attack,psnr_cover_vs_wm,ssim_cover_vs_wm,bit_accuracy,payload_bits,delta
synthetic_06,jpeg_q70,63.763,1.0,0.5312,64,16.0
synthetic_06,jpeg_q40,63.763,1.0,0.5312,64,16.0
synthetic_06,jpeg_q20,63.763,1.0,0.5312,64,16.0
synthetic_06,gauss_noise_.01,63.763,1.0,0.9531,64,16.0
synthetic_06,gauss_noise_.03,63.763,1.0,0.5625,64,16.0
synthetic_06,gauss_blur_1.0,63.763,1.0,0.5312,64,16.0
synthetic_06,gauss_blur_2.0,63.763,1.0,0.5312,64,16.0
synthetic_06,resize_0.5,63.763,1.0,0.5312,64,16.0
synthetic_06,resize_2.0,63.763,1.0,0.6719,64,16.0
synthetic_06,rot_5,63.763,1.0,0.8594,64,16.0
synthetic_06,crop_0.9,63.763,1.0,0.9688,64,16.0
synthetic_07,identity,65.563,1.0,1.0,64,16.0
synthetic_07,jpeg_q90,65.563,1.0,0.8281,64,16.0
synthetic_07,jpeg_q70,65.563,1.0,0.4531,64,16.0
synthetic_07,jpeg_q40,65.563,1.0,0.4531,64,16.0
synthetic_07,jpeg_q20,65.563,1.0,0.4531,64,16.0
synthetic_07,gauss_noise_.01,65.563,1.0,0.9219,64,16.0
synthetic_07,gauss_noise_.03,65.563,1.0,0.5625,64,16.0
synthetic_07,gauss_blur_1.0,65.563,1.0,0.4531,64,16.0
synthetic_07,gauss_blur_2.0,65.563,1.0,0.4531,64,16.0
synthetic_07,resize_0.5,65.563,1.0,0.4531,64,16.0
synthetic_07,resize_2.0,65.563,1.0,0.8438,64,16.0
synthetic_07,rot_5,65.563,1.0,0.7969,64,16.0
synthetic_07,crop_0.9,65.563,1.0,0.9844,64,16.0
